SECURITY ID,OPTION SIDE,PAR VALUE,PRICE,MARKET VALUE,VaR,
CQ1P505.0Comdty,put,100,0.125,12.5,-243.1702806,
CQ1P515.0Comdty,put,100,0.25,25,-251.0633715,
CQ1P550.0Comdty,put,330,1.875,618.75,-805.4921737,
CCV1P2250.0Comdty,put,100,43,4300,-1635.110435,
CCV1P2400.0Comdty,put,-50,130,-6500,-6639.516804,
CLU1P70.5Comdty,put,-100,4.55,-455,-371.5836709,
CLN1P69.0Comdty,put,100,2.5,250,-246.0482521,
CLN1P71.7Comdty,put,-35,4.59,-160.65,-179.4895996,
CLN1P73.0Comdty,put,75,6.07,455.25,-484.6448437,
CLN1P70.0Comdty,put,-50,3.35,-167.5,-173.1066585,
CLN1P71.0Comdty,put,50,4.55,227.5,-222.0048412,
CLQ1P72.0Comdty,put,50,5.65,282.5,-264.8931309,
GCN1P1770.0Comdty,put,50,1.2,60,-209.1971689,
GCN1P1820.0Comdty,put,50,17.9,895,-293.0395376,
GCQ1P1800.0Comdty,put,50,11.8,590,-425.3862336,
KCU1P140.0Comdty,put,150,0.25,37.5,-151.2508169,
KCU1P145.0Comdty,put,70,0.56,39.2,-72.82815833,
KCU1P150.0Comdty,put,-50,1.28,-64,-46.93959745,
KCU1P155.0Comdty,put,-100,2.51,-251,-119.1666851,
NGQ1P2.65Comdty,put,100,0.001,0.1,-1.723804455,
NGQ1P3.00Comdty,put,50,0.001,0.05,-0.848835321,
NGQ1P3.20Comdty,put,50,0.001,0.05,-0.892566191,
NGQ1P3.30Comdty,put,50,0.001,0.05,-0.860036131,
NGQ1P3.45Comdty,put,30,0.002,0.06,-0.479822682,
NGQ1P3.50Comdty,put,175,0.004,0.7,-3.065785149,
NGQ1P3.55Comdty,put,75,0.005,0.375,-1.300982268,
NGQ1P3.60Comdty,put,80,0.009,0.72,-1.398372517,
NGU1P3.50Comdty,put,65,0.051,3.315,-1.437124788,
SQ1P1300.0Comdty,put,100,0.25,25,-639.6311309,
XBQ1P217.0Comdty,put,100,6.29,629,-612.2726602,
TOTAL,,,,2391298.506,-45545.82401,-0.019046482
,,,,,,
