SECURITY ID,OPTION SIDE,PAR VALUE,PRICE,MARKET VALUE,VaR,
CCV1P2250.0Comdty,put,100,43.00,4300.00,-4300.00,
CCV1P2400.0Comdty,put,-50,130.00,-6500.00,-948.98,
CLU1P70.5Comdty,put,-100,4.55,-455.00,-45.06,
CLN1P69.0Comdty,put,100,2.50,250.00,-9.96,
CLN1P71.7Comdty,put,-35,4.59,-160.65,-24.82,
CLN1P73.0Comdty,put,75,6.07,455.25,-39.68,
CLN1P70.0Comdty,put,-50,3.35,-167.50,-12.48,
CLN1P71.0Comdty,put,50,4.55,227.50,-2.47,
CLQ1P72.0Comdty,put,50,5.65,282.50,-2.54,
GCN1P1770.0Comdty,put,50,1.20,60.00,-60.00,
GCN1P1820.0Comdty,put,50,17.90,895.00,-395.07,
GCQ1P1800.0Comdty,put,50,11.80,590.00,-590.00,
KCU1P140.0Comdty,put,150,0.25,37.50,-37.50,
KCU1P145.0Comdty,put,70,0.56,39.20,-39.20,
KCU1P150.0Comdty,put,-50,1.28,-64.00,-64.00,
KCU1P155.0Comdty,put,-100,2.51,-251.00,-251.00,
NGQ1P2.65Comdty,put,100,0.00,0.10,-0.10,
NGQ1P3.00Comdty,put,50,0.00,0.05,-0.05,
NGQ1P3.20Comdty,put,50,0.00,0.05,-0.05,
NGQ1P3.30Comdty,put,50,0.00,0.05,-0.05,
NGQ1P3.45Comdty,put,30,0.00,0.06,-0.06,
NGQ1P3.50Comdty,put,175,0.00,0.70,-0.70,
NGQ1P3.55Comdty,put,75,0.01,0.38,-0.38,
NGQ1P3.60Comdty,put,80,0.01,0.72,-0.72,
NGU1P3.50Comdty,put,65,0.05,3.32,-3.32,
SQ1P1300.0Comdty,put,100,0.25,25.00,-25.00,
XBQ1P217.0Comdty,put,100,6.29,629.00,-70.90,
TOTAL,,,,2391298.51,-26645.81,-1.114%
,,,,,,
